eid,name,location,office_cmte,party,election_type,year,search_location
506260,"FOLEY, TIMOTHY",LIVINGSTON TOWNSHIP,MUNICIPAL OFFICE,REPUBLICAN,GENERAL,2026,LIVINGSTON TOWNSHIP
505190,"FOLEY, TIMOTHY S",LIVINGSTON TOWNSHIP,MUNICIPAL OFFICE,REPUBLICAN,PRIMARY,2026,LIVINGSTON TOWNSHIP
503762,KAHN & ABENSTEIN,LIVINGSTON TOWNSHIP,JOINT CANDIDATES CMTE,DEMOCRAT,PRIMARY,2026,LIVINGSTON TOWNSHIP
503761,"KAHN, LAURIE",LIVINGSTON TOWNSHIP,MUNICIPAL OFFICE,DEMOCRAT,PRIMARY,2026,LIVINGSTON TOWNSHIP
466297,"KLEIN, SHAWN R",LIVINGSTON TOWNSHIP,MUNICIPAL OFFICE,DEMOCRAT,PRIMARY,2026,LIVINGSTON TOWNSHIP
505189,"LAM, BILL",LIVINGSTON TOWNSHIP,MUNICIPAL OFFICE,DEMOCRAT,PRIMARY,2026,LIVINGSTON TOWNSHIP
503889,MEINHARDT & BHUPTANI,LIVINGSTON TOWNSHIP,JOINT CANDIDATES CMTE,DEMOCRAT,PRIMARY,2026,LIVINGSTON TOWNSHIP
503887,"MEINHARDT, EDWARD",LIVINGSTON TOWNSHIP,MUNICIPAL OFFICE,DEMOCRAT,PRIMARY,2026,LIVINGSTON TOWNSHIP
503902,"WANG, DAPHNE DAN",LIVINGSTON TOWNSHIP,MUNICIPAL OFFICE,DEMOCRAT,PRIMARY,2026,LIVINGSTON TOWNSHIP
506785,CALLAHAN & MEYER FOR BOARD OF EDUCATION,MAPLEWOOD TOWNSHIP,JOINT CANDIDATES CMTE,NONPARTISAN,SCHOOL BOARD-NOV.,2026,MAPLEWOOD TOWNSHIP
506783,"CALLAHAN, ELIZABETH",MAPLEWOOD TOWNSHIP,SCHOOL BOARD,NONPARTISAN,SCHOOL BOARD-NOV.,2026,MAPLEWOOD TOWNSHIP
503873,"CEPERLEY, MARTIN",MAPLEWOOD TOWNSHIP,MUNICIPAL OFFICE,DEMOCRAT,PRIMARY,2026,MAPLEWOOD TOWNSHIP
505191,"DE LUCA, VICTOR",MAPLEWOOD TOWNSHIP,MUNICIPAL OFFICE,DEMOCRAT,PRIMARY,2026,MAPLEWOOD TOWNSHIP
506784,"MEYER, WILLIAM",MAPLEWOOD TOWNSHIP,SCHOOL BOARD,NONPARTISAN,SCHOOL BOARD-NOV.,2026,MAPLEWOOD TOWNSHIP
503994,"SULLIVAN, JOHN T",MAPLEWOOD TOWNSHIP,MUNICIPAL OFFICE,DEMOCRAT,PRIMARY,2026,MAPLEWOOD TOWNSHIP
506979,"SULLIVAN, JOHN T",MAPLEWOOD TOWNSHIP,MUNICIPAL OFFICE,DEMOCRAT,GENERAL,2026,MAPLEWOOD TOWNSHIP
503652,"BRAZELL, WILLIAM",MILLBURN TOWNSHIP,MUNICIPAL OFFICE,DEMOCRAT,PRIMARY,2026,MILLBURN TOWNSHIP
506873,"BRAZELL, WILLIAM T",MILLBURN TOWNSHIP,MUNICIPAL OFFICE,DEMOCRAT,GENERAL,2026,MILLBURN TOWNSHIP
505340,MILLBURN RESIDENTS FOR NON PARTISAN POSITIVE CHANGE,MILLBURN TOWNSHIP,ELECTION RELATED POL CMTE,NONPARTISAN,SPECIAL (INCLUDES RECALL),2026,MILLBURN TOWNSHIP
504662,MILLBURN RESIDENTS FOR NON-PARTISAN POSITIVE CHANGE,MILLBURN TOWNSHIP,CMTE BALLOT QUESTION,NONPARTISAN,GENERAL,2026,MILLBURN TOWNSHIP
505371,RESIDENTS FOR TRANSPARENCY AND AFFORDABILITY,MILLBURN TOWNSHIP,ELECTION RELATED POL CMTE,NONPARTISAN,SPECIAL (INCLUDES RECALL),2026,MILLBURN TOWNSHIP
505500,SACCOMANDI & STOLLER,MILLBURN TOWNSHIP,JOINT CANDIDATES CMTE,REPUBLICAN,PRIMARY,2026,MILLBURN TOWNSHIP
506164,SACCOMANDI & STOLLER FOR MILLBURN TC,MILLBURN TOWNSHIP,JOINT CANDIDATES CMTE,REPUBLICAN,GENERAL,2026,MILLBURN TOWNSHIP
506162,"SACCOMANDI, FRANK",MILLBURN TOWNSHIP,MUNICIPAL OFFICE,REPUBLICAN,GENERAL,2026,MILLBURN TOWNSHIP
505192,"SACCOMANDI, FRANK IV",MILLBURN TOWNSHIP,MUNICIPAL OFFICE,REPUBLICAN,PRIMARY,2026,MILLBURN TOWNSHIP
505193,"STOLLER, BEN",MILLBURN TOWNSHIP,MUNICIPAL OFFICE,REPUBLICAN,PRIMARY,2026,MILLBURN TOWNSHIP
506163,"STOLLER, BEN",MILLBURN TOWNSHIP,MUNICIPAL OFFICE,REPUBLICAN,GENERAL,2026,MILLBURN TOWNSHIP
503653,ZALL & BRAZELL,MILLBURN TOWNSHIP,JOINT CANDIDATES CMTE,DEMOCRAT,PRIMARY,2026,MILLBURN TOWNSHIP
506874,ZALL & BRAZELL CTE,MILLBURN TOWNSHIP,JOINT CANDIDATES CMTE,DEMOCRAT,GENERAL,2026,MILLBURN TOWNSHIP
506872,"ZALL, BETH",MILLBURN TOWNSHIP,MUNICIPAL OFFICE,DEMOCRAT,GENERAL,2026,MILLBURN TOWNSHIP
503651,"ZALL, BETH",MILLBURN TOWNSHIP,MUNICIPAL OFFICE,DEMOCRAT,PRIMARY,2026,MILLBURN TOWNSHIP
503117,SAVE MONTCLAIR SCHOOLS,MONTCLAIR TOWN,CMTE BALLOT QUESTION,INDEPENDENT,SPECIAL (INCLUDES RECALL),2026,MONTCLAIR TOWN
473413,"ADAMS, ERIC",NEWARK CITY,MUNICIPAL OFFICE,NONPARTISAN,MUNICIPAL - MAY,2026,NEWARK CITY
503696,"AHMAD, ABDUSH",NEWARK CITY,MUNICIPAL OFFICE,NONPARTISAN,MUNICIPAL - MAY,2026,NEWARK CITY
503695,"BAKER, LONNIE T",NEWARK CITY,MUNICIPAL OFFICE,NONPARTISAN,MUNICIPAL - MAY,2026,NEWARK CITY
447717,"BARAKA, RAS J",NEWARK CITY,MAYOR,NONPARTISAN,MUNICIPAL - MAY,2026,NEWARK CITY
502813,"BEY, AMINA",NEWARK CITY,MUNICIPAL OFFICE,NONPARTISAN,MUNICIPAL - MAY,2026,NEWARK CITY
503686,"BROWN, NADIRAH A",NEWARK CITY,MUNICIPAL OFFICE,NONPARTISAN,MUNICIPAL - MAY,2026,NEWARK CITY
502808,"CHANEYFIELD JENKINS, GAYLE",NEWARK CITY,MUNICIPAL OFFICE,NONPARTISAN,MUNICIPAL - MAY,2026,NEWARK CITY
503691,"CHERRY, CHRISTINA G",NEWARK CITY,MUNICIPAL OFFICE,NONPARTISAN,MUNICIPAL - MAY,2026,NEWARK CITY
503010,"CHILDS, QUAMID",NEWARK CITY,SCHOOL BOARD,NONPARTISAN,SCHOOL BOARD-APRIL,2026,NEWARK CITY
503445,"COMESANAS, MARK",NEWARK CITY,SCHOOL BOARD,NONPARTISAN,SCHOOL BOARD-APRIL,2026,NEWARK CITY
503688,"COOPER, MALIK H",NEWARK CITY,MUNICIPAL OFFICE,NONPARTISAN,MUNICIPAL - MAY,2026,NEWARK CITY
503645,COUNCIL CHILDS COMESANAS & NIVAR MOVING NEWARK SCHOOLS FORWARD 2026,NEWARK CITY,JOINT CANDIDATES CMTE,NONPARTISAN,SCHOOL BOARD-APRIL,2026,NEWARK CITY
503103,"COUNCIL, HASSANI K",NEWARK CITY,SCHOOL BOARD,NONPARTISAN,SCHOOL BOARD-APRIL,2026,NEWARK CITY
505521,"COUNCIL, PATRICK",NEWARK CITY,MUNICIPAL OFFICE,NONPARTISAN,RUNOFF,2026,NEWARK CITY
441239,"COUNCIL, PATRICK O",NEWARK CITY,MUNICIPAL OFFICE,NONPARTISAN,MUNICIPAL - MAY,2026,NEWARK CITY
505194,"FLORIA-CALLORI, ANTHONY",NORTH CALDWELL BOROUGH,MUNICIPAL OFFICE,DEMOCRAT,PRIMARY,2026,NORTH CALDWELL BOROUGH
505195,"LUERS-FRANCO, AIMEE",NORTH CALDWELL BOROUGH,MUNICIPAL OFFICE,DEMOCRAT,PRIMARY,2026,NORTH CALDWELL BOROUGH
505196,"TILTON, KENNETH",NORTH CALDWELL BOROUGH,MAYOR,REPUBLICAN,PRIMARY,2026,NORTH CALDWELL BOROUGH
503701,"COLEY, KERRY",ORANGE CITY,MUNICIPAL OFFICE,NONPARTISAN,MUNICIPAL - MAY,2026,ORANGE CITY
503699,"EASON, TENCY",ORANGE CITY,MUNICIPAL OFFICE,NONPARTISAN,MUNICIPAL - MAY,2026,ORANGE CITY
503702,"HALL, ANTOINETT A",ORANGE CITY,MUNICIPAL OFFICE,NONPARTISAN,MUNICIPAL - MAY,2026,ORANGE CITY
503703,"HILBERT, QUANTAVIA L",ORANGE CITY,MUNICIPAL OFFICE,NONPARTISAN,MUNICIPAL - MAY,2026,ORANGE CITY
503401,"JAMES, LYNVAL H",ORANGE CITY,MUNICIPAL OFFICE,NONPARTISAN,MUNICIPAL - MAY,2026,ORANGE CITY
473650,"OGBOURNE, LYNN",ORANGE CITY,MUNICIPAL OFFICE,NONPARTISAN,MUNICIPAL - MAY,2026,ORANGE CITY
503700,"SUMMERS-JOHNSON, JAMIE B",ORANGE CITY,MUNICIPAL OFFICE,NONPARTISAN,MUNICIPAL - MAY,2026,ORANGE CITY
503462,"WARD, JAMES H III",ORANGE CITY,MUNICIPAL OFFICE,NONPARTISAN,MUNICIPAL - MAY,2026,ORANGE CITY
460864,"BARDI, CHRISTOPHER",ROSELAND BOROUGH,MUNICIPAL OFFICE,DEMOCRAT,PRIMARY,2026,ROSELAND BOROUGH
460885,"BARDI, CHRISTOPHER",ROSELAND BOROUGH,MUNICIPAL OFFICE,DEMOCRAT,GENERAL,2026,ROSELAND BOROUGH
505197,"BIRONT, JOHN",ROSELAND BOROUGH,MUNICIPAL OFFICE,DEMOCRAT,PRIMARY,2026,ROSELAND BOROUGH
442150,"SPANGO, JAMES R",ROSELAND BOROUGH,MAYOR,DEMOCRAT,PRIMARY,2026,ROSELAND BOROUGH
505805,ZABLOW & ZABLOW,ROSELAND BOROUGH,JOINT CANDIDATES CMTE,REPUBLICAN,GENERAL,2026,ROSELAND BOROUGH
505803,"ZABLOW, AARON",ROSELAND BOROUGH,MUNICIPAL OFFICE,REPUBLICAN,GENERAL,2026,ROSELAND BOROUGH
505804,"ZABLOW, JENNA",ROSELAND BOROUGH,MUNICIPAL OFFICE,REPUBLICAN,GENERAL,2026,ROSELAND BOROUGH
505634,ZEBLOW & ZEBLOW,ROSELAND BOROUGH,JOINT CANDIDATES CMTE,REPUBLICAN,PRIMARY,2026,ROSELAND BOROUGH
505331,"ZEBLOW , AARON",ROSELAND BOROUGH,MUNICIPAL OFFICE,REPUBLICAN,PRIMARY,2026,ROSELAND BOROUGH
505332,"ZEBLOW, JENNIFER",ROSELAND BOROUGH,MUNICIPAL OFFICE,REPUBLICAN,PRIMARY,2026,ROSELAND BOROUGH
505719,"HARTWYK, KATHERINE",VERONA BOROUGH,MUNICIPAL OFFICE,NONPARTISAN,GENERAL,2026,VERONA BOROUGH
506290,"SCHOR, COREY",VERONA BOROUGH,MUNICIPAL OFFICE,NONPARTISAN,GENERAL,2026,VERONA BOROUGH
505965,"CANALE, KATHY",WEST CALDWELL BOROUGH,MUNICIPAL OFFICE,REPUBLICAN,GENERAL,2026,WEST CALDWELL BOROUGH
503648,"CANALE, KATHY L",WEST CALDWELL BOROUGH,MUNICIPAL OFFICE,REPUBLICAN,PRIMARY,2026,WEST CALDWELL BOROUGH
503647,"DOCTEROFF, MICHAEL",WEST CALDWELL BOROUGH,MUNICIPAL OFFICE,REPUBLICAN,PRIMARY,2026,WEST CALDWELL BOROUGH
505964,"DOCTEROFF, MICHAEL",WEST CALDWELL BOROUGH,MUNICIPAL OFFICE,REPUBLICAN,GENERAL,2026,WEST CALDWELL BOROUGH
505966,TEMPESTA DOCTEROFF & CANALE,WEST CALDWELL BOROUGH,JOINT CANDIDATES CMTE,REPUBLICAN,GENERAL,2026,WEST CALDWELL BOROUGH
503649,TEMPESTA DOCTEROFF & CANALE,WEST CALDWELL BOROUGH,JOINT CANDIDATES CMTE,REPUBLICAN,PRIMARY,2026,WEST CALDWELL BOROUGH
505963,"TEMPESTA, JOSEPH",WEST CALDWELL BOROUGH,MAYOR,REPUBLICAN,GENERAL,2026,WEST CALDWELL BOROUGH
470812,"TEMPESTA, JOSEPH JR",WEST CALDWELL BOROUGH,MAYOR,REPUBLICAN,PRIMARY,2026,WEST CALDWELL BOROUGH
505446,"BENNETT, MICAELA",WEST ORANGE TOWN,MUNICIPAL OFFICE,NONPARTISAN,GENERAL,2026,WEST ORANGE TOWN
505616,"DVORIN, MATTHEW",WEST ORANGE TOWN,MUNICIPAL OFFICE,NONPARTISAN,GENERAL,2026,WEST ORANGE TOWN
505650,"GIBBONS, KENNETH",WEST ORANGE TOWN,MUNICIPAL OFFICE,NONPARTISAN,GENERAL,2026,WEST ORANGE TOWN
505235,"GOLDSMAN, JUSTIN",WEST ORANGE TOWN,MUNICIPAL OFFICE,NONPARTISAN,GENERAL,2026,WEST ORANGE TOWN
503679,"HENDY, JACKIE",WEST ORANGE TOWN,MUNICIPAL OFFICE,NONPARTISAN,GENERAL,2026,WEST ORANGE TOWN
505354,"KRAKOVIAK, JOE",WEST ORANGE TOWN,MAYOR,NONPARTISAN,GENERAL,2026,WEST ORANGE TOWN
448273,"MCCARTNEY, SUSAN",WEST ORANGE TOWN,MAYOR,NONPARTISAN,GENERAL,2026,WEST ORANGE TOWN
502751,"ROCK, BRIAN",WEST ORANGE TOWN,MAYOR,NONPARTISAN,GENERAL,2026,WEST ORANGE TOWN
505617,"RUDIN, JOYCE L",WEST ORANGE TOWN,MAYOR,NONPARTISAN,GENERAL,2026,WEST ORANGE TOWN
506982,"SCARPA, SUSAN",WEST ORANGE TOWN,MAYOR,NONPARTISAN,GENERAL,2026,WEST ORANGE TOWN
502953,"WILLIAMS, TAMMY M",WEST ORANGE TOWN,MAYOR,NONPARTISAN,GENERAL,2026,WEST ORANGE TOWN
