eid	name	location	office_cmte	party	election_type	year	search_location
507889	LUCIANO, LEONARD M	ESSEX COUNTY	COUNTY COMMISSIONER	DEMOCRAT	GENERAL	2026	ESSEX COUNTY
503995	MATHEWS, MARITIZA	ESSEX COUNTY	COUNTY EXECUTIVE	REPUBLICAN	PRIMARY	2026	ESSEX COUNTY
507878	MATHEWS, MARITZA	ESSEX COUNTY	COUNTY EXECUTIVE	REPUBLICAN	GENERAL	2026	ESSEX COUNTY
502949	MCGRATH, CHRISTINE	ESSEX COUNTY	COUNTY COMMISSIONER	DEMOCRAT	PRIMARY	2026	ESSEX COUNTY
505886	MCGRATH, CHRISTINE	ESSEX COUNTY	COUNTY COMMISSIONER	DEMOCRAT	GENERAL	2026	ESSEX COUNTY
454589	MERCADO, ROBERT	ESSEX COUNTY	COUNTY COMMISSIONER	DEMOCRAT	PRIMARY	2026	ESSEX COUNTY
503605	MUHAMMAD, MEDINAH	ESSEX COUNTY	COUNTY COMMISSIONER	DEMOCRAT	PRIMARY	2026	ESSEX COUNTY
508277	MUHAMMAD, MEDINAH	ESSEX COUNTY	COUNTY COMMISSIONER	DEMOCRAT	GENERAL	2026	ESSEX COUNTY
461379	MURRAY-THOMAS, A'DORIAN	ESSEX COUNTY	COUNTY COMMISSIONER	DEMOCRAT	PRIMARY	2026	ESSEX COUNTY
507887	MURRAY-THOMAS, ADORIAN	ESSEX COUNTY	COUNTY COMMISSIONER	DEMOCRAT	GENERAL	2026	ESSEX COUNTY
505387	PICHARDO MUHAMMAD LUCIANO POMARES KLEIN MCGRATH RICHARDSON & YASIN	ESSEX COUNTY	JOINT CANDIDATES CMTE	DEMOCRAT	PRIMARY	2026	ESSEX COUNTY
504072	PICHARDO, WILSON A	ESSEX COUNTY	COUNTY COMMISSIONER	DEMOCRAT	PRIMARY	2026	ESSEX COUNTY
507886	PICHARDO, WILSON A	ESSEX COUNTY	COUNTY COMMISSIONER	DEMOCRAT	GENERAL	2026	ESSEX COUNTY
505885	POMARES, CARLOS	ESSEX COUNTY	COUNTY COMMISSIONER	DEMOCRAT	GENERAL	2026	ESSEX COUNTY
460962	POMARES, CARLOS  M	ESSEX COUNTY	COUNTY COMMISSIONER	DEMOCRAT	PRIMARY	2026	ESSEX COUNTY
459513	RICHARDSON, WAYNE	ESSEX COUNTY	COUNTY COMMISSIONER	DEMOCRAT	PRIMARY	2026	ESSEX COUNTY
507881	RICHARDSON, WAYNE	ESSEX COUNTY	COUNTY COMMISSIONER	DEMOCRAT	GENERAL	2026	ESSEX COUNTY
503627	RUSSO, ROBERT J	ESSEX COUNTY	COUNTY COMMISSIONER	DEMOCRAT	PRIMARY	2026	ESSEX COUNTY
454582	SEBOLD, PATRICIA	ESSEX COUNTY	COUNTY COMMISSIONER	DEMOCRAT	PRIMARY	2026	ESSEX COUNTY
502902	VICTOR HINDS, WYNNIE-FRED	ESSEX COUNTY	COUNTY COMMISSIONER	INDEPENDENT	GENERAL	2026	ESSEX COUNTY
503394	YASIN, ABDUR R	ESSEX COUNTY	COUNTY COMMISSIONER	DEMOCRAT	PRIMARY	2026	ESSEX COUNTY
507880	YASIN, ABDUR R	ESSEX COUNTY	COUNTY COMMISSIONER	DEMOCRAT	GENERAL	2026	ESSEX COUNTY
508997	BENNETT MEANY, GABRIELLE	BELLEVILLE TOWN	SCHOOL BOARD	NONPARTISAN	SCHOOL BOARD-NOV.	2026	BELLEVILLE TOWN
437003	DEPENA, NOAMY	BELLEVILLE TOWN	MUNICIPAL OFFICE	NONPARTISAN	MUNICIPAL - MAY	2026	BELLEVILLE TOWN
437004	GRAZIANO, THOMAS	BELLEVILLE TOWN	MUNICIPAL OFFICE	NONPARTISAN	MUNICIPAL - MAY	2026	BELLEVILLE TOWN
508998	LU, KYLE	BELLEVILLE TOWN	SCHOOL BOARD	NONPARTISAN	SCHOOL BOARD-NOV.	2026	BELLEVILLE TOWN
437005	LUNA & DEPENA (GRAZIANO MELHAM)  BELLEVILLE VICTORY 2026	BELLEVILLE TOWN	JOINT CANDIDATES CMTE	NONPARTISAN	MUNICIPAL - MAY	2026	BELLEVILLE TOWN
503419	LUNA, YOLANDA	BELLEVILLE TOWN	MUNICIPAL OFFICE	NONPARTISAN	MUNICIPAL - MAY	2026	BELLEVILLE TOWN
509516	MALDONADO & MISSAGGIA FOR BOE	BELLEVILLE TOWN	JOINT CANDIDATES CMTE	NONPARTISAN	SCHOOL BOARD-NOV.	2026	BELLEVILLE TOWN
508999	MALDONADO, ANDREA C	BELLEVILLE TOWN	SCHOOL BOARD	NONPARTISAN	SCHOOL BOARD-NOV.	2026	BELLEVILLE TOWN
437001	MELHAM, MICHAEL A	BELLEVILLE TOWN	MAYOR	NONPARTISAN	MUNICIPAL - MAY	2026	BELLEVILLE TOWN
509000	MISSAGGIA, LISSA	BELLEVILLE TOWN	SCHOOL BOARD	NONPARTISAN	SCHOOL BOARD-NOV.	2026	BELLEVILLE TOWN
503678	RODRIGUEZ, MICHELLE M	BELLEVILLE TOWN	MUNICIPAL OFFICE	NONPARTISAN	MUNICIPAL - MAY	2026	BELLEVILLE TOWN
502776	VELEZ, FRANK III	BELLEVILLE TOWN	MAYOR	NONPARTISAN	MUNICIPAL - MAY	2026	BELLEVILLE TOWN
503677	WELLS, DANYALE P	BELLEVILLE TOWN	MUNICIPAL OFFICE	NONPARTISAN	MUNICIPAL - MAY	2026	BELLEVILLE TOWN
505177	BABULA, GREG	BLOOMFIELD TOWN	MUNICIPAL OFFICE	DEMOCRAT	PRIMARY	2026	BLOOMFIELD TOWN
507892	BABULA, GREG	BLOOMFIELD TOWN	MUNICIPAL OFFICE	DEMOCRAT	GENERAL	2026	BLOOMFIELD TOWN
505178	BONICA, PAUL	BLOOMFIELD TOWN	MUNICIPAL OFFICE	DEMOCRAT	PRIMARY	2026	BLOOMFIELD TOWN
505179	BOOTWALA, STEF	BLOOMFIELD TOWN	MUNICIPAL OFFICE	DEMOCRAT	PRIMARY	2026	BLOOMFIELD TOWN
473245	CHARRIS TABARES, MONICA M	BLOOMFIELD TOWN	MUNICIPAL OFFICE	DEMOCRAT	PRIMARY	2026	BLOOMFIELD TOWN
502672	CRUZ, SARAH	BLOOMFIELD TOWN	MUNICIPAL OFFICE	DEMOCRAT	PRIMARY	2026	BLOOMFIELD TOWN
506350	CRUZ, SARAH	BLOOMFIELD TOWN	MUNICIPAL OFFICE	DEMOCRAT	GENERAL	2026	BLOOMFIELD TOWN
509002	DIAZ, MARIA A	BLOOMFIELD TOWN	SCHOOL BOARD	NONPARTISAN	SCHOOL BOARD-NOV.	2026	BLOOMFIELD TOWN
509004	DUDLEY, KASEY	BLOOMFIELD TOWN	SCHOOL BOARD	NONPARTISAN	SCHOOL BOARD-NOV.	2026	BLOOMFIELD TOWN
506351	GONZALEZ & CRUZ	BLOOMFIELD TOWN	JOINT CANDIDATES CMTE	DEMOCRAT	GENERAL	2026	BLOOMFIELD TOWN
502673	GONZALEZ MARTINEZ & CRUZ TEAM MUNDELL FOR BLOOMFIELD	BLOOMFIELD TOWN	JOINT CANDIDATES CMTE	DEMOCRAT	PRIMARY	2026	BLOOMFIELD TOWN
502671	GONZALEZ, ROSALEE	BLOOMFIELD TOWN	MUNICIPAL OFFICE	DEMOCRAT	PRIMARY	2026	BLOOMFIELD TOWN
506349	GONZALEZ, ROSALEE	BLOOMFIELD TOWN	MUNICIPAL OFFICE	DEMOCRAT	GENERAL	2026	BLOOMFIELD TOWN
509005	GREEN, NADEISHA	BLOOMFIELD TOWN	SCHOOL BOARD	NONPARTISAN	SCHOOL BOARD-NOV.	2026	BLOOMFIELD TOWN
503354	MARTINEZ, JASON	BLOOMFIELD TOWN	MUNICIPAL OFFICE	DEMOCRAT	PRIMARY	2026	BLOOMFIELD TOWN
509476	MILLER DIAZ & SERRANO FOR THE BLOOMFIELD STUDENTS	BLOOMFIELD TOWN	JOINT CANDIDATES CMTE	NONPARTISAN	SCHOOL BOARD-NOV.	2026	BLOOMFIELD TOWN
509001	MILLER, QUAN R	BLOOMFIELD TOWN	SCHOOL BOARD	NONPARTISAN	SCHOOL BOARD-NOV.	2026	BLOOMFIELD TOWN
509006	PARRY, STEPHANIE	BLOOMFIELD TOWN	SCHOOL BOARD	NONPARTISAN	SCHOOL BOARD-NOV.	2026	BLOOMFIELD TOWN
502899	SANTIAGO, STEFANIE	BLOOMFIELD TOWN	MUNICIPAL OFFICE	DEMOCRAT	PRIMARY	2026	BLOOMFIELD TOWN
509003	SERRANO, DAMASO	BLOOMFIELD TOWN	SCHOOL BOARD	NONPARTISAN	SCHOOL BOARD-NOV.	2026	BLOOMFIELD TOWN
503992	ALCORTA, RICARDO	CALDWELL BOROUGH	MUNICIPAL OFFICE	DEMOCRAT	PRIMARY	2026	CALDWELL BOROUGH
505184	BAMBRICK, BRIAN	CALDWELL BOROUGH	MUNICIPAL OFFICE	REPUBLICAN	PRIMARY	2026	CALDWELL BOROUGH
507898	BAMBRICK, BRIAN	CALDWELL BOROUGH	MUNICIPAL OFFICE	REPUBLICAN	GENERAL	2026	CALDWELL BOROUGH
507896	HEFTLER, MARK	CALDWELL BOROUGH	MUNICIPAL OFFICE	DEMOCRAT	GENERAL	2026	CALDWELL BOROUGH
507894	JONES, GARRETT C	CALDWELL BOROUGH	MAYOR	REPUBLICAN	GENERAL	2026	CALDWELL BOROUGH
505182	JONES, GARRETT C	CALDWELL BOROUGH	MAYOR	REPUBLICAN	PRIMARY	2026	CALDWELL BOROUGH
503993	JURGENSEN SAGALOW & ALCORTA	CALDWELL BOROUGH	JOINT CANDIDATES CMTE	DEMOCRAT	PRIMARY	2026	CALDWELL BOROUGH
503990	JURGENSEN, KENNETH	CALDWELL BOROUGH	MAYOR	DEMOCRAT	PRIMARY	2026	CALDWELL BOROUGH
507893	JURGENSEN, KENNETH	CALDWELL BOROUGH	MAYOR	DEMOCRAT	GENERAL	2026	CALDWELL BOROUGH
505183	POLLARA, ANDREW	CALDWELL BOROUGH	MUNICIPAL OFFICE	REPUBLICAN	PRIMARY	2026	CALDWELL BOROUGH
507897	POLLARA, ANDREW	CALDWELL BOROUGH	MUNICIPAL OFFICE	REPUBLICAN	GENERAL	2026	CALDWELL BOROUGH
507895	SAGALOW, JONATHAN R	CALDWELL BOROUGH	MUNICIPAL OFFICE	DEMOCRAT	GENERAL	2026	CALDWELL BOROUGH
503991	SAGALOW, JONATHAN R	CALDWELL BOROUGH	MUNICIPAL OFFICE	DEMOCRAT	PRIMARY	2026	CALDWELL BOROUGH
509008	PALEK, PAUL A JR	CEDAR GROVE TOWNSHIP	SCHOOL BOARD	NONPARTISAN	SCHOOL BOARD-NOV.	2026	CEDAR GROVE TOWNSHIP
505186	D`AVELLA, BERNARD J	ESSEX FELLS BOROUGH	MUNICIPAL OFFICE	REPUBLICAN	PRIMARY	2026	ESSEX FELLS BOROUGH
507899	DAVELLA, BERNARD J	ESSEX FELLS BOROUGH	MUNICIPAL OFFICE	REPUBLICAN	GENERAL	2026	ESSEX FELLS BOROUGH
505185	KING, JOHN	ESSEX FELLS BOROUGH	MUNICIPAL OFFICE	REPUBLICAN	PRIMARY	2026	ESSEX FELLS BOROUGH
505552	KING, JOHN	ESSEX FELLS BOROUGH	MUNICIPAL OFFICE	REPUBLICAN	GENERAL	2026	ESSEX FELLS BOROUGH
505187	CAMPISI, PETER	FAIRFIELD TOWNSHIP	MUNICIPAL OFFICE	REPUBLICAN	PRIMARY	2026	FAIRFIELD TOWNSHIP
507900	CAMPISI, PETER	FAIRFIELD TOWNSHIP	MUNICIPAL OFFICE	REPUBLICAN	GENERAL	2026	FAIRFIELD TOWNSHIP
509012	DEPASCALE, ANTHONY	FAIRFIELD TOWNSHIP	SCHOOL BOARD	NONPARTISAN	SCHOOL BOARD-NOV.	2026	FAIRFIELD TOWNSHIP
507901	LATTIMER, MICHAEL	FAIRFIELD TOWNSHIP	MUNICIPAL OFFICE	REPUBLICAN	GENERAL	2026	FAIRFIELD TOWNSHIP
505188	LATTIMER, MICHAEL	FAIRFIELD TOWNSHIP	MUNICIPAL OFFICE	REPUBLICAN	PRIMARY	2026	FAIRFIELD TOWNSHIP
509013	STREET, MELINDA	FAIRFIELD TOWNSHIP	SCHOOL BOARD	NONPARTISAN	SCHOOL BOARD-NOV.	2026	FAIRFIELD TOWNSHIP
509014	GEARHART, DARLEEN L	GLEN RIDGE BOROUGH	SCHOOL BOARD	NONPARTISAN	SCHOOL BOARD-NOV.	2026	GLEN RIDGE BOROUGH
509015	GOTTLIEB, JOCELYN	GLEN RIDGE BOROUGH	SCHOOL BOARD	NONPARTISAN	SCHOOL BOARD-NOV.	2026	GLEN RIDGE BOROUGH
507902	LEFKOVITS, DAVID	GLEN RIDGE BOROUGH	MUNICIPAL OFFICE	DEMOCRAT	GENERAL	2026	GLEN RIDGE BOROUGH
509016	MADDOCK, GILBERT	GLEN RIDGE BOROUGH	SCHOOL BOARD	NONPARTISAN	SCHOOL BOARD-NOV.	2026	GLEN RIDGE BOROUGH
507903	MOODY, LORIJEANE	GLEN RIDGE BOROUGH	MUNICIPAL OFFICE	DEMOCRAT	GENERAL	2026	GLEN RIDGE BOROUGH
473506	BAPTISTE, RUTH	IRVINGTON TOWNSHIP	MUNICIPAL OFFICE	NONPARTISAN	MUNICIPAL - MAY	2026	IRVINGTON TOWNSHIP
503732	BENBOW GEFFARD & LYON	IRVINGTON TOWNSHIP	JOINT CANDIDATES CMTE	NONPARTISAN	SCHOOL BOARD-APRIL	2026	IRVINGTON TOWNSHIP
503470	BENBOW, SYESHA	IRVINGTON TOWNSHIP	SCHOOL BOARD	NONPARTISAN	SCHOOL BOARD-APRIL	2026	IRVINGTON TOWNSHIP
459043	BROWN, DARLENE	IRVINGTON TOWNSHIP	MUNICIPAL OFFICE	NONPARTISAN	MUNICIPAL - MAY	2026	IRVINGTON TOWNSHIP
503072	DESIR & QUIZHPI	IRVINGTON TOWNSHIP	JOINT CANDIDATES CMTE	NONPARTISAN	MUNICIPAL - MAY	2026	IRVINGTON TOWNSHIP
503070	DESIR, DANOUCHKA	IRVINGTON TOWNSHIP	MAYOR	NONPARTISAN	MUNICIPAL - MAY	2026	IRVINGTON TOWNSHIP
459044	EVANS, SEAN	IRVINGTON TOWNSHIP	MUNICIPAL OFFICE	NONPARTISAN	MUNICIPAL - MAY	2026	IRVINGTON TOWNSHIP
441758	FREDERIC BROWN & EVANS (HUDLEY) TEAM IRVINGTON STRONG	IRVINGTON TOWNSHIP	JOINT CANDIDATES CMTE	NONPARTISAN	MUNICIPAL - MAY	2026	IRVINGTON TOWNSHIP
441756	FREDERIC, CHARNETTE	IRVINGTON TOWNSHIP	MUNICIPAL OFFICE	NONPARTISAN	MUNICIPAL - MAY	2026	IRVINGTON TOWNSHIP
503471	GEFFRARD, JORDAN	IRVINGTON TOWNSHIP	SCHOOL BOARD	NONPARTISAN	SCHOOL BOARD-APRIL	2026	IRVINGTON TOWNSHIP
441757	HUDLEY, OCTOBER	IRVINGTON TOWNSHIP	MUNICIPAL OFFICE	NONPARTISAN	MUNICIPAL - MAY	2026	IRVINGTON TOWNSHIP
473508	INMAN BAPTISTE WATFORD & OGU TEAM INMAN 2026	IRVINGTON TOWNSHIP	JOINT CANDIDATES CMTE	NONPARTISAN	MUNICIPAL - MAY	2026	IRVINGTON TOWNSHIP
473507	INMAN, PAUL	IRVINGTON TOWNSHIP	MAYOR	NONPARTISAN	MUNICIPAL - MAY	2026	IRVINGTON TOWNSHIP
503472	LYON, AUDREY	IRVINGTON TOWNSHIP	SCHOOL BOARD	NONPARTISAN	SCHOOL BOARD-APRIL	2026	IRVINGTON TOWNSHIP
503468	OGU, JUDE N	IRVINGTON TOWNSHIP	MUNICIPAL OFFICE	NONPARTISAN	MUNICIPAL - MAY	2026	IRVINGTON TOWNSHIP
503071	QUIZHPI, JENNIFER	IRVINGTON TOWNSHIP	MUNICIPAL OFFICE	NONPARTISAN	MUNICIPAL - MAY	2026	IRVINGTON TOWNSHIP
502935	VAUSS FREDERIC & BROWN TEAM IRVINGTON STRONG 2026	IRVINGTON TOWNSHIP	JOINT CANDIDATES CMTE	NONPARTISAN	MUNICIPAL - MAY	2026	IRVINGTON TOWNSHIP
437063	VAUSS, ANTHONY	IRVINGTON TOWNSHIP	MAYOR	NONPARTISAN	MUNICIPAL - MAY	2026	IRVINGTON TOWNSHIP
503704	VAUSS, ANTHONY A JR	IRVINGTON TOWNSHIP	MUNICIPAL OFFICE	NONPARTISAN	MUNICIPAL - MAY	2026	IRVINGTON TOWNSHIP
503467	WATFORD, DURRELL	IRVINGTON TOWNSHIP	MUNICIPAL OFFICE	NONPARTISAN	MUNICIPAL - MAY	2026	IRVINGTON TOWNSHIP
503760	ABENSTEIN, STACEY	LIVINGSTON TOWNSHIP	MUNICIPAL OFFICE	DEMOCRAT	PRIMARY	2026	LIVINGSTON TOWNSHIP
507252	ABENSTEIN, STACEY	LIVINGSTON TOWNSHIP	MUNICIPAL OFFICE	DEMOCRAT	GENERAL	2026	LIVINGSTON TOWNSHIP
509018	ASHINSKY, NEAL ADAM	LIVINGSTON TOWNSHIP	SCHOOL BOARD	NONPARTISAN	SCHOOL BOARD-NOV.	2026	LIVINGSTON TOWNSHIP
507251	BHUPTANI, KETAN K	LIVINGSTON TOWNSHIP	MUNICIPAL OFFICE	DEMOCRAT	GENERAL	2026	LIVINGSTON TOWNSHIP
503888	BHUPTANI, KETAN K	LIVINGSTON TOWNSHIP	MUNICIPAL OFFICE	DEMOCRAT	PRIMARY	2026	LIVINGSTON TOWNSHIP
505190	FOLEY, TIMOTHY S	LIVINGSTON TOWNSHIP	MUNICIPAL OFFICE	REPUBLICAN	PRIMARY	2026	LIVINGSTON TOWNSHIP
506260	FOLEY, TIMOTHY S	LIVINGSTON TOWNSHIP	MUNICIPAL OFFICE	REPUBLICAN	GENERAL	2026	LIVINGSTON TOWNSHIP
509017	GONG, FANG	LIVINGSTON TOWNSHIP	SCHOOL BOARD	NONPARTISAN	SCHOOL BOARD-NOV.	2026	LIVINGSTON TOWNSHIP
503762	KAHN & ABENSTEIN	LIVINGSTON TOWNSHIP	JOINT CANDIDATES CMTE	DEMOCRAT	PRIMARY	2026	LIVINGSTON TOWNSHIP
503761	KAHN, LAURIE	LIVINGSTON TOWNSHIP	MUNICIPAL OFFICE	DEMOCRAT	PRIMARY	2026	LIVINGSTON TOWNSHIP
466297	KLEIN, SHAWN R	LIVINGSTON TOWNSHIP	MUNICIPAL OFFICE	DEMOCRAT	PRIMARY	2026	LIVINGSTON TOWNSHIP
505189	LAM, BILL	LIVINGSTON TOWNSHIP	MUNICIPAL OFFICE	DEMOCRAT	PRIMARY	2026	LIVINGSTON TOWNSHIP
503889	MEINHARDT & BHUPTANI	LIVINGSTON TOWNSHIP	JOINT CANDIDATES CMTE	DEMOCRAT	PRIMARY	2026	LIVINGSTON TOWNSHIP
507253	MEINHARDT BHUPTANI & ABENSTEIN	LIVINGSTON TOWNSHIP	JOINT CANDIDATES CMTE	DEMOCRAT	GENERAL	2026	LIVINGSTON TOWNSHIP
507250	MEINHARDT, EDWARD	LIVINGSTON TOWNSHIP	MUNICIPAL OFFICE	DEMOCRAT	GENERAL	2026	LIVINGSTON TOWNSHIP
503887	MEINHARDT, EDWARD	LIVINGSTON TOWNSHIP	MUNICIPAL OFFICE	DEMOCRAT	PRIMARY	2026	LIVINGSTON TOWNSHIP
503902	WANG, DAPHNE DAN	LIVINGSTON TOWNSHIP	MUNICIPAL OFFICE	DEMOCRAT	PRIMARY	2026	LIVINGSTON TOWNSHIP
509019	AZEEZ, PATRICIA	MAPLEWOOD TOWNSHIP	SCHOOL BOARD	NONPARTISAN	SCHOOL BOARD-NOV.	2026	MAPLEWOOD TOWNSHIP
506785	CALLAHAN & MEYER FOR BOARD OF EDUCATION	MAPLEWOOD TOWNSHIP	JOINT CANDIDATES CMTE	NONPARTISAN	SCHOOL BOARD-NOV.	2026	MAPLEWOOD TOWNSHIP
506783	CALLAHAN, ELIZABETH	MAPLEWOOD TOWNSHIP	SCHOOL BOARD	NONPARTISAN	SCHOOL BOARD-NOV.	2026	MAPLEWOOD TOWNSHIP
503873	CEPERLEY, MARTIN	MAPLEWOOD TOWNSHIP	MUNICIPAL OFFICE	DEMOCRAT	PRIMARY	2026	MAPLEWOOD TOWNSHIP
505191	DE LUCA, VICTOR	MAPLEWOOD TOWNSHIP	MUNICIPAL OFFICE	DEMOCRAT	PRIMARY	2026	MAPLEWOOD TOWNSHIP
507904	DE LUCA, VICTOR	MAPLEWOOD TOWNSHIP	MUNICIPAL OFFICE	DEMOCRAT	GENERAL	2026	MAPLEWOOD TOWNSHIP
506784	MEYER, WILLIAM	MAPLEWOOD TOWNSHIP	SCHOOL BOARD	NONPARTISAN	SCHOOL BOARD-NOV.	2026	MAPLEWOOD TOWNSHIP
503994	SULLIVAN, JOHN T	MAPLEWOOD TOWNSHIP	MUNICIPAL OFFICE	DEMOCRAT	PRIMARY	2026	MAPLEWOOD TOWNSHIP
506979	SULLIVAN, JOHN T	MAPLEWOOD TOWNSHIP	MUNICIPAL OFFICE	DEMOCRAT	GENERAL	2026	MAPLEWOOD TOWNSHIP
506873	BRAZELL, BILL	MILLBURN TOWNSHIP	MUNICIPAL OFFICE	DEMOCRAT	GENERAL	2026	MILLBURN TOWNSHIP
503652	BRAZELL, WILLIAM	MILLBURN TOWNSHIP	MUNICIPAL OFFICE	DEMOCRAT	PRIMARY	2026	MILLBURN TOWNSHIP
509025	FINKELSTEIN, ANDREW	MILLBURN TOWNSHIP	SCHOOL BOARD	NONPARTISAN	SCHOOL BOARD-NOV.	2026	MILLBURN TOWNSHIP
509022	GERMA, CHRISTIAN	MILLBURN TOWNSHIP	SCHOOL BOARD	NONPARTISAN	SCHOOL BOARD-NOV.	2026	MILLBURN TOWNSHIP
509023	LONGLEY RICHARDS, CYNTHIA	MILLBURN TOWNSHIP	SCHOOL BOARD	NONPARTISAN	SCHOOL BOARD-NOV.	2026	MILLBURN TOWNSHIP
505340	MILLBURN RESIDENTS FOR NON PARTISAN POSITIVE CHANGE	MILLBURN TOWNSHIP	CMTE BALLOT QUESTION	NONPARTISAN	SPECIAL (INCLUDES RECALL)	2026	MILLBURN TOWNSHIP
504662	MILLBURN RESIDENTS FOR NON-PARTISAN POSITIVE CHANGE	MILLBURN TOWNSHIP	CMTE BALLOT QUESTION	NONPARTISAN	GENERAL	2026	MILLBURN TOWNSHIP
509026	MISHRA, GYANPRAKASH S	MILLBURN TOWNSHIP	SCHOOL BOARD	NONPARTISAN	SCHOOL BOARD-NOV.	2026	MILLBURN TOWNSHIP
509058	OSTROVSKY SAURABH & GERMA FOR MILLBURN BOE	MILLBURN TOWNSHIP	JOINT CANDIDATES CMTE	NONPARTISAN	SCHOOL BOARD-NOV.	2026	MILLBURN TOWNSHIP
509020	OSTROVSKY, ANNA	MILLBURN TOWNSHIP	SCHOOL BOARD	NONPARTISAN	SCHOOL BOARD-NOV.	2026	MILLBURN TOWNSHIP
505371	RESIDENTS FOR TRANSPARENCY AND AFFORDABILITY	MILLBURN TOWNSHIP	ELECTION RELATED POL CMTE	NONPARTISAN	SPECIAL (INCLUDES RECALL)	2026	MILLBURN TOWNSHIP
505500	SACCOMANDI & STOLLER	MILLBURN TOWNSHIP	JOINT CANDIDATES CMTE	REPUBLICAN	PRIMARY	2026	MILLBURN TOWNSHIP
506164	SACCOMANDI & STOLLER FOR MILLBURN TC	MILLBURN TOWNSHIP	JOINT CANDIDATES CMTE	REPUBLICAN	GENERAL	2026	MILLBURN TOWNSHIP
506162	SACCOMANDI, FRANK IV	MILLBURN TOWNSHIP	MUNICIPAL OFFICE	REPUBLICAN	GENERAL	2026	MILLBURN TOWNSHIP
505192	SACCOMANDI, FRANK IV	MILLBURN TOWNSHIP	MUNICIPAL OFFICE	REPUBLICAN	PRIMARY	2026	MILLBURN TOWNSHIP
509021	SAURABH, PRASOON	MILLBURN TOWNSHIP	SCHOOL BOARD	NONPARTISAN	SCHOOL BOARD-NOV.	2026	MILLBURN TOWNSHIP
509024	SHIVANI, PRIYA	MILLBURN TOWNSHIP	SCHOOL BOARD	NONPARTISAN	SCHOOL BOARD-NOV.	2026	MILLBURN TOWNSHIP
505193	STOLLER, BEN	MILLBURN TOWNSHIP	MUNICIPAL OFFICE	REPUBLICAN	PRIMARY	2026	MILLBURN TOWNSHIP
