CandidateID,Candidate,ContributorName,Total Contributions
446426,"La Pelusa, Gary Sr",C. & A. Development Co.,300.0
446426,"La Pelusa, Gary Sr",Alphadog Solutions Inc,300.0
446426,"La Pelusa, Gary Sr",J & J Printing Company,275.0
446426,"La Pelusa, Gary Sr","Waters, Mcpherson, Mcneill Pc",250.0
446426,"La Pelusa, Gary Sr","Vinnie & Richie, Inc",250.0
446426,"La Pelusa, Gary Sr",Mcfinsky Associates,250.0
446426,"La Pelusa, Gary Sr","Krivit & Krivit, Pc",250.0
446426,"La Pelusa, Gary Sr",Krivit & Krivit Pc,250.0
446426,"La Pelusa, Gary Sr",Kam Bakery Inc Tba Judicke'S Bakery,250.0
446426,"La Pelusa, Gary Sr",Kam Bakery Inc Ta T/A Judicke'S Bakery,250.0
446426,"La Pelusa, Gary Sr",Kam Bakery Inc T/A Judicke'S Bakery,250.0
446426,"La Pelusa, Gary Sr",Hudson Plaza Motel Inc,250.0
446426,"La Pelusa, Gary Sr","Dal Design Group, Pc",250.0
446426,"La Pelusa, Gary Sr",C & A Development Co,250.0
446426,"La Pelusa, Gary Sr",Am Development Inc,250.0
446426,"La Pelusa, Gary Sr","Chasan Lamparello Mallon & Cappuzzo, Pc",150.0
446426,"La Pelusa, Gary Sr",Borker Transmission Service Inc,150.0
446426,"La Pelusa, Gary Sr",876 Broadway Inc - Joe'S On Broadway,150.0
446426,"La Pelusa, Gary Sr",Lourenco Corporation Dba Neptune Bakery,125.0
459096,"Booker, Loyad",Tricon Services C-Corp Holdings Inc,5500.0
459096,"Booker, Loyad",Center State Engineering,4100.0
459096,"Booker, Loyad",Gamal Group Corporation,2600.0
459096,"Booker, Loyad",Brr Corp,2500.0
459096,"Booker, Loyad",Alphadog Solutions Inc,1500.0
459096,"Booker, Loyad",Neuman Insurance Solutions Inc,1000.0
459096,"Booker, Loyad",Belizaire Law Pc,950.0
459096,"Booker, Loyad",Advanced Together PAC Inc,300.0
459096,"Booker, Loyad",Mccabe Institute Of Emergency Preparedness,250.0
459096,"Booker, Loyad","M & R'S Miller Auto Gear & Parts, Inc",250.0
459284,"Baselice, Robert P",C & A Development Co.,5500.0
459284,"Baselice, Robert P",D Construction,5000.0
459284,"Baselice, Robert P",Porto By Antonio,1500.0
459284,"Baselice, Robert P",Visun Inc,1000.0
459284,"Baselice, Robert P","Oliver, Mccartney & Holmes",1000.0
459284,"Baselice, Robert P",North Jersey Public Adjusters,1000.0
459284,"Baselice, Robert P",Cana Realty,1000.0
459284,"Baselice, Robert P",All In One Motors Corp,1000.0
459284,"Baselice, Robert P",500 Realty Corp,1000.0
459284,"Baselice, Robert P",Remington & Vernick & Arango Engineers Inc,500.0
459284,"Baselice, Robert P",Porro Legal,500.0
459284,"Baselice, Robert P",Firemark Protection,500.0
459284,"Baselice, Robert P",La Barbiera & Martinez,250.0
459966,"O'Dea, William",Mast Construction Services Inc,1500.0
459966,"O'Dea, William",Trilon,1000.0
459966,"O'Dea, William","Waters, Mcpherson, Mcneill, Pc",800.0
459966,"O'Dea, William",Toasted Bagels & Deli Inc,500.0
459966,"O'Dea, William",Rasoi Restaurant Inc,500.0
459966,"O'Dea, William",King Towing Nj America Inc,500.0
459966,"O'Dea, William",Excelsior Plumbing Co Inc,500.0
459966,"O'Dea, William",Panepinto Properties Inc,275.0
459974,"Kopacz, Kenneth",William J Guarini Inc,4500.0
459974,"Kopacz, Kenneth",Brr Corp,3000.0
459974,"Kopacz, Kenneth",Stan'S Sport Center Inc,2600.0
459974,"Kopacz, Kenneth",Underground Utilities,2000.0
459974,"Kopacz, Kenneth",Reivax Contracting Corp - Kds Aggregates LLC Subsi Diary,2000.0
459974,"Kopacz, Kenneth","Waters, Mcpherson, Mcneill, Pc",1750.0
459974,"Kopacz, Kenneth",Greater Nj Carpenters Pec,1300.0
459974,"Kopacz, Kenneth",Vinnie & Richie Inc Aka Pizzamaster,1250.0
459974,"Kopacz, Kenneth",William J. Guarini Inc,1000.0
459974,"Kopacz, Kenneth",Trilon Services C-Corp Holdings Inc,1000.0
459974,"Kopacz, Kenneth",Jct Solutions,800.0
459974,"Kopacz, Kenneth",Vinnie & Richie Inc,750.0
459974,"Kopacz, Kenneth",North Jersey Public Adjusters Inc,600.0
459974,"Kopacz, Kenneth",Integrated Micro Systems Inc,600.0
459974,"Kopacz, Kenneth","North Jersey Public Adjusters, Inc",500.0
459974,"Kopacz, Kenneth",J & J Printing Company,500.0
459974,"Kopacz, Kenneth",Harrington Service Dmc Incorporation,350.0
459974,"Kopacz, Kenneth","Waters, Mcpherson, Mcneill Pc",300.0
459974,"Kopacz, Kenneth",Waggoner Engineering Inc,300.0
459974,"Kopacz, Kenneth",Sweeney Funeral Home,300.0
459974,"Kopacz, Kenneth",Russell'S Auto Body Inc,300.0
459974,"Kopacz, Kenneth",Municipal Inspection,300.0
459974,"Kopacz, Kenneth",Costanza And Providence,300.0
459974,"Kopacz, Kenneth",Cm Mechanical,300.0
459974,"Kopacz, Kenneth",Hudson Air Company,150.0
459974,"Kopacz, Kenneth",Harrington Service Dmc Incorporated,150.0
460816,"Romano, Anthony L Jr",Jct Solutions,3000.0
460816,"Romano, Anthony L Jr",Mast Construction Services Inc,1750.0
460816,"Romano, Anthony L Jr",William J. Guarini Inc,1000.0
460816,"Romano, Anthony L Jr",Islamic Council Of Hudson County A Nj Nonprofit Or Ganization,1000.0
460816,"Romano, Anthony L Jr",M & G Auto Parts Inc,750.0
460816,"Romano, Anthony L Jr",Boswell Engineering Inc,750.0
460816,"Romano, Anthony L Jr",Waters Mcpherson Mcneil Pc,500.0
460816,"Romano, Anthony L Jr",Trilon Services C-Corp Holding,500.0
460816,"Romano, Anthony L Jr",Islamic Council Of Hudson County A Nj Non Profit C Orporation,500.0
460816,"Romano, Anthony L Jr",Due Razza Inc,500.0
460816,"Romano, Anthony L Jr",Donandru'S Inc,500.0
460816,"Romano, Anthony L Jr",Defalco & Co,500.0
460816,"Romano, Anthony L Jr",Commercial Technology Contractors Inc,500.0
460816,"Romano, Anthony L Jr",Turn Out Uniforms Inc,250.0
460816,"Romano, Anthony L Jr",S & B Plumbing Inc,250.0
460816,"Romano, Anthony L Jr","Leemark Electric, Inc",250.0
460816,"Romano, Anthony L Jr",Chasan Lamparello Mallon & Cappuzzo Pc,250.0
460816,"Romano, Anthony L Jr",B Tulko Inc,250.0
465816,"Weimmer, Jacqueline","Waters, Mcpherson, Mcneill Pc",3750.0
465816,"Weimmer, Jacqueline",C & A Development Co,2500.0
465816,"Weimmer, Jacqueline",Brr Corp,2000.0
465816,"Weimmer, Jacqueline",Sicilian Citizen'S Club Inc,500.0
465816,"Weimmer, Jacqueline",Joseph Cannarozzo Construction Inc,500.0
465816,"Weimmer, Jacqueline",Chasan Lamparello Mallon & Cappuzzo Pc,375.0
465816,"Weimmer, Jacqueline",Advance Together PAC Inc,250.0
465816,"Weimmer, Jacqueline",Kuhl'S Tavern Inc,150.0
466348,"Aponte-Lipski, Yraida",Rasoi Restaurant Inc,500.0
502634,"Ashe Nadrowski, Sharon",Fairview Insurance Agency Associates Dba Foundatio N Risk Partners Corp,5500.0
502634,"Ashe Nadrowski, Sharon",Greater Nj Carpenters Pec,5000.0
502634,"Ashe Nadrowski, Sharon","Adams, Rehmann & Heggan Associates Inc",5000.0
502634,"Ashe Nadrowski, Sharon",Rd Parisi Associates Inc,2500.0
502634,"Ashe Nadrowski, Sharon",Jct Solutions,2500.0
502634,"Ashe Nadrowski, Sharon",Chasan Lamparello Mallon & Cappuzzo Pc,2500.0
502634,"Ashe Nadrowski, Sharon",Brr Corp,2500.0
502634,"Ashe Nadrowski, Sharon",Bayonne Islamic Center A Nj Nonprofit Corporation,2500.0
502634,"Ashe Nadrowski, Sharon",Neuman Insurance Solutions Inc,1000.0
502634,"Ashe Nadrowski, Sharon",Lucciola Mason Constracting Inc,1000.0
502634,"Ashe Nadrowski, Sharon",Shree Shyam Inc,501.0
502634,"Ashe Nadrowski, Sharon",D Construction Co,500.0
502634,"Ashe Nadrowski, Sharon",Aldo Design Group,500.0
502634,"Ashe Nadrowski, Sharon",Harrington Service Dmc Incorporation,400.0
502634,"Ashe Nadrowski, Sharon",Markos Creative Ink Inc Bayonne Press Printing,250.0
502634,"Ashe Nadrowski, Sharon","M & R 'S Miller Auto Gear & Parts, Inc",250.0
502634,"Ashe Nadrowski, Sharon",William J Guarini Inc,0.0
502842,Perry Bottino Salama Godesky & Gillen Team Sharon Cte,Colliers Engineering And Design,10000.0
502842,Perry Bottino Salama Godesky & Gillen Team Sharon Cte,Business & Governmental Insurance Agency Inc,10000.0
502842,Perry Bottino Salama Godesky & Gillen Team Sharon Cte,Boswell Engineering Inc,10000.0
502842,Perry Bottino Salama Godesky & Gillen Team Sharon Cte,Usa Windows & Doors Inc,2500.0
502842,Perry Bottino Salama Godesky & Gillen Team Sharon Cte,Markos Creative Ink Inc Bayonne Press Printing,250.0
503036,Booker Carroll Rada Veloz Gullace & La Pelusa Team Booker,Trilon Services C-Corp Holdings Inc,7500.0
503036,Booker Carroll Rada Veloz Gullace & La Pelusa Team Booker,Center State Engineering,3600.0
503036,Booker Carroll Rada Veloz Gullace & La Pelusa Team Booker,Rac Landscaping Co Inc,2500.0
503036,Booker Carroll Rada Veloz Gullace & La Pelusa Team Booker,E D Professional Services Inc,2500.0
503036,Booker Carroll Rada Veloz Gullace & La Pelusa Team Booker,Ultra Care Pharmacy,2000.0
503036,Booker Carroll Rada Veloz Gullace & La Pelusa Team Booker,"Waters, Mcpherson, Mcneill Pc",1000.0
503036,Booker Carroll Rada Veloz Gullace & La Pelusa Team Booker,Bcp Pharmacy LLC,1000.0
503036,Booker Carroll Rada Veloz Gullace & La Pelusa Team Booker,Dal Design Group Pc,500.0
503036,Booker Carroll Rada Veloz Gullace & La Pelusa Team Booker,Advanced Together PAC Inc,350.0
503036,Booker Carroll Rada Veloz Gullace & La Pelusa Team Booker,M & R'S Miller Auto Gear & Parts Inc,250.0
503036,Booker Carroll Rada Veloz Gullace & La Pelusa Team Booker,Alphadog Solutions Inc,125.0
503124,"Ekladious, Mina",Gasparano & Associates,3000.0
503124,"Ekladious, Mina",Newark Pd Soa,2600.0
503124,"Ekladious, Mina",Hhi Heliport,2600.0
503124,"Ekladious, Mina",G&S Technology,2600.0
503124,"Ekladious, Mina",Ship To Shore Transport Inc,2000.0
503124,"Ekladious, Mina",Pocono Truck,2000.0
503124,"Ekladious, Mina",Ship To Shore Transport,1500.0
503124,"Ekladious, Mina",Alliance Ortho,1500.0
503124,"Ekladious, Mina",Zachs Garage LLC,1000.0
503124,"Ekladious, Mina",Nco,1000.0
503124,"Ekladious, Mina",Jdt Mortors,1000.0
503124,"Ekladious, Mina","F&T Trucking Co., Inc",1000.0
503124,"Ekladious, Mina",Ccg,1000.0
503124,"Ekladious, Mina",Bafolie Friedman LLC,1000.0
503124,"Ekladious, Mina",Pj Transports Inc,250.0
503124,"Ekladious, Mina",Marginrx Inc,250.0
503124,"Ekladious, Mina",Friends Of Wayne Blanchard,250.0
503165,"Dublin, Jeffrey","William J. Guarini , Inc",500.0
503165,"Dublin, Jeffrey",The Leaf Joint Cigars,400.0
503165,"Dublin, Jeffrey",Remington & Vernick Engineers,300.0
503444,"Valdez, Alex",Jct Solutions,500.0
503458,Desmond Acosta Fiermonte & Lavelle,Waters Mcpherson Mcneill Pc,2000.0
503579,"Johnson, Pam",Mervel Corporation,500.0
504234,"Bennett, Lawrence M",170 Garfield Assoc LLC,4500.0
504234,"Bennett, Lawrence M",Assoc. Towing & Recovery,2500.0
504234,"Bennett, Lawrence M",The Pegasus Group LLC,1000.0
504234,"Bennett, Lawrence M",Sos Carfix LLC,500.0
504234,"Bennett, Lawrence M",Marwah Academy,500.0
504234,"Bennett, Lawrence M",Gametime Amusemnets,500.0
